지금, 만나러 갑니다
10,진짜 연출 좋고 스토리 좋은 인생 영화ㅠ
10,진짜 말도 안된다 진짜 인생작
10,멜로 내인생의 최고의 기억에남는 영화...
10,내인생영화 나에게 최고의 배우 다케우치유코열번넘게 봤지만 오늘 한번 더 보고 당신을 그립니다 편히 쉬세요
10,로맨스 영화만큼은 일본이 최고인듯...
10,따뜻한 햇살이 물결에 비치든 아름다운 이야기
10,고전이 될 수 있는 명작
10,한국 영화 지만나가 백배 천배 더 재밌네~
10,저 멀리 천둥소리가 들려오면 가장 먼저 생각나는 그런 영화.
10,일본 영화 특유의 감성이 너무 좋았습니다.. 눈물 주르륵 ㅜㅜOST도 종종 유튜브에서 찾아서 들을 만큼 감명 깊었습니다
10,
10,
10,인정하는 영화입니당!
10,이건 글로 표현할수 없는 최고의 감동
10,
10,
10,
10,
10,말이필요없는 로맨스 지구 최강 영화
10,정말 마음이 따뜻해지는 영화네요 ㅠ
10,최고입니다 두고두고 봐야할 영화
10,유코 비의 계절에 다시 돌아와줘요
10,20살 부터 제가 제일 사랑하는 영화 였는데 어느덧 13년이 흘러 결혼을 하게 되었네요미오의 안타까운 소식을 듣고 얼마나 슬펏는지...비오는날 오랜만에 영화를 보니 옛생각이 납니다주인공 부부처럼 서로를 생각하고 항상 아껴주며 그렇게 살고 싶네요다음 또 영화를 볼때는 아마 유우지같은 아이가 태어났을수도 있겠죠
8,하늘이 장대비같이 울어줄 때 그대에게 돌아갈게요.
10,눈물 펑펑 ... 최고에요
8,잘 만든 멜로 영화는 언제 만나도 지금, "사랑" 그 자체를 하고 싶게 만든다. 오버하지 않으면서도 사람의 감성을 제대로 주무를 줄 아는 일본 멜로만의 정서적 힘. 어여쁜 영상과 음악, 착하고 사랑스러운 캐릭터들, 게다가 구성까지 훌륭하다. 시공을 초월하여 반짝이는 별빛 같은, 두고두고 변치 않는 온기를 간직한 동화책 같은, "일본 멜로 영화의 대표작".
10,이제 봤다는게 후회됩니다.
10,개인적으로 일본영화 중 최고입니다~ 다시 봐도 감동
10,여운남는 영화ㅠㅠ 엄청 울었다 너무 좋은 영화였음!!인생영화 등극...
10,
10,진짜 꼭 보세여.. 진짜 너무 슬픔
10,
10,
10,몇 번을 봐도 눈물이 흐르는 명작입니다.
10,와 22년인생에서 처음으로 평점매겨봅니다. 영화보는데 30분동안 울었습니다
10,남자쪽에서 감동을 얻어서 그 감동을 여자쪽에서 눈물로 흘리는 영화. 간혹 다른 예능이나 영화, 드라마, 각종 프로그램에서 해당 브금이 흘러 나오는데 이 영화가 생각남. 십몇년이 흐른 지금에도 이 시국에 그 나라가 만든 영화임에도 다시봐도 눈물을 멈출 수 없는 영화. 내 감상평.. 모두가 공감하리라 확신한다.
