지금, 만나러 갑니다
9,사랑하는 사람과 함께 감상해서 더욱 감동적이었습니다. 지금 그와, 혹은 그녀와 함께 보세요. :)
10,재미있네요. 두분 실제로 결혼도 하셨고 이혼하신 걸로 아는데, 아름다운 사랑 멋지게 그려낸 작품이라고 생각합니다.
10,내인생 최고의 영화
10,왜 평점이높은지는 보고판단햇으면좋겟다괜히높은게아니다
10,간만에 감동적이고 재밌는걸 봤네요. 앞으로 여운이 오래갈듯.
10,비오는날 보면... 눈가가 촉촉해지다 못해 젖어버리는 그런 영화
9,이제 보고 폭풍눈물 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
8,특유의 아기자기한 느낌이 좋았고 의외 반전으로 은근 소름과 감동이 동시에 온 영화
10,최고의 영화임ㅇㅇ
10,너무 좋다ㅇㅇ
10,난 이 영화가 너무 좋다.
10,이런 사랑 하고 싶다.
10,감동입니다,,,
8,진짜 사랑이다...
10,비가오면 생각나는....
10,이별, 이별, 이별...... 아쉬운 점이 있다면 왜 굳이 아역 배우를 썼을까.
10,평점 100점도아깝지않은영화.비오는날마다 생각날것같아요
10,천만번도 더보고싶은영화
10,배경 ost 내용 연기 너무 아름다운 영화
10,단순한 신파가 아닌 행복한 여운을 주는 영화. 감동의 클래스가 훌륭한 영화다. 오히려 행복한 부분에서 아내가 사라지면 어쩌지 노심초사하면서 보게된다는..
10,너무 좋다...하
10,ㅠㅠㅠ 감동적이예요
10,너무 재밌게 봤습니다...ㅠㅠ
10,감동복선도있고좋다다
10,이 영화를 볼 때마다 매번 눈물을 흘렸다..
10,그냥 짱...
10,감수성포텐터지네요 ㅠㅠㅠㅠㅠ
10,최고의 영화..가족애와 진정한 사랑을 느낄수있는 영화. 감동이 지워지지 않음
10,다케우치유코... 그배우하나만으로도 이영화는 최고가되었다
10,봐도봐도 슬프면서 감동
10,이런 따뜻한 가족애를 전하고자 하는 영화는 판타지던 억지설정이던 좋은게 좋은거다 라는 생각만 듬. 아역배우의 연기가 정말 대단하고 다케우치 유코 미모의 절정인 영화가 아닌가 싶음
10,하 미치겠다ㅠㅠㅜㅜㅜㅜ
10,최고의 판타지 영화! 최고!!
10,명작;; 시간이 지나도  자꾸 생각나고 또 보고픈 영화 슬퍼요~
10,최고
10,역대급 멜로.. 말도안되는 일본의 판타지적 영화임에도불구 그런생각조차 날려버린영화..
10,진짜 완전좋네여 ㅎㅎ
10,마지막에 반전보고 완전놀람^^
10,그날 본 꽃의 이름을 우리는 아직 모른다와 비슷한 거같음
10,진짜 꼭봐야할 영화
10,일본영화인식을 단번에깨버린 영화 펑펑울음 남잔데...
10,앞으로 장마철이면 항상 떠오르는 영화가 될 것 같네요..
10,대박이네요 이영화~티비에서 대충보고 그냥감동적이네 했는데 처음부터 끝까지보니 쓰나미처럼 밀려오는 감동에 눈물이. . 영화도 잘짜여져있어요대박강추♥♥♥♥♥♥♥
10,다케우치유코넘조아요...
10,흑흑
10,4년전에 보고 느낀감정이랑 또다르네ㅎ
10,여름에 찾아오는 영화
10,처음 본 영화가 지금, 만나러 갑니다 이 영화를 보고 일본 멜로영화 유명한건다 보게되었다는... 10기가짜리 초고화질 소장중..ㅎ
10,내가 처음으로 멜로 영화보면서 여운이 오래 간 영화 3가지 중 한 영화..한달이 넘어도 아직도 여운이 있다...;시간을 달리는 소녀, 다만 널 사랑하고 있어, 그리고 지금 만나러 갑니다
10,말이 필요없다!
10,정말 눈물이 저절로 나오네요.
10,영화보고 눈물이 주륵주륵 나온적은 이영화가 첨일듯...아직도 그느낌 되새겨보면 생생하게 느껴진다. 정말 슬픈멜로의 최고영화...
10,ㅠ^ㅠ
10,감동적인 영화bb
10,이 영화 추천해서 실패한 적 단 한번도 없음.남녀노소 나이불문 다 마음이 따스해지는 영화입니다
10,감동적이야
10,나라면 어땠을까?
10,개봉했을때 극장에서 보고 9년만에 다시봤는데 감동은 여전하네요. 최고의 영화입니다.
10,내 인생에 있어서 지금까지의 영화중 가장 감동있게 본영화 수년이 흐르고 다시 보아도 감동인 영화 잔잔하고 애절한 영화
10,가슴 찡 한 영화 오랜만이네요.개봉한 지는 꽤 돼서 제목만 알고 있었던 영화... 잠이 안 와 우연히 보게 됐는데 이런 감동과 재미가 있을 줄이야!!!  매년 장마오면 생각 날거같아요...
9,판타지 때문에 억지다 뭐다 말이 많은데, 비현실을 깔아놓음으로써 종국엔 비극으로 치달을 것을 예상케해 자칫 잔잔하게만 흐르기쉬운 러브스토리를 애잔하게 만들었고, 이후에 이 모든 것이 선택에 의한 것이었다는 사실에 신선한 통수를 맞는 것이  감동포인트.
10,영원히 내 마음에 자리잡을 영화다. 장마철만 되면 가슴이 아릴듯..
9,유코 넘 이쁘다 ~  소름돋 았다 마지막에 ㅋㅋ
7,좋은 영화다... 하지만 평점이 너무 과하다..
10,삭막했던 나에게 촉촉함을 준 영화
10,9.26이라는 평점이 낮아보이기는 처음이다 9.5이상을 줘도 이상하지않을 영화
10,전부다 이어지는 전개.. 흑흑
10,진짜 볼때마다 펑펑 울게 돼요............ 진짜 아름답다
10,이제서야 봤지만 정말 최고의 영화인듯하네요남자인데도 눈물이 주룩 ~
10,너무감동적인영화ㅠㅠㅠㅠㅠ
10,아  흐느적거리면서 울었네 .. 진짜 너무 슬프고 중간에 헤어졌을떄 아빠나아이가 엄청울었었다면 나도 터졌을텐데 아 코막혔어 ㅠ
7,막장드라마에 익숙해진 나! 별로 놀랄것도 감동도 없었음..그냥 그랬쪄여!
10,최고다. 운명적인 사랑이라는게 진짜 존재하는건지 생각해보게됨..
9,마지막에 펑펑울었어요..진짜추천!!
10,멜로장르는 자주 보지 않는데 정말 아름다운 이야기에 오랜만에 눈물을 흘렸습니다. 강추!
8,잔잔한 전개에도 불구하고 몰입력과 연출력이 대단하다고 생각했습니다! 훌륭한 영화같아요!
10,친구랑 펑펑 울면서 눈 빨개지고 팅팅 붓도록 본 영화. 러브레터에 이어 최고로 좋아하는 일본 영화입니다. 다시 봐도 감동이네요. 유우지 귀여워 ㅠㅠㅠㅠ ♥
10,진짜재밋어요완전ㅜㅜㅠㅠㅠㅠ여운쩌네요
10,최고임..영화가 다 끝나고 나니 볼 땐 그냥 넘겼던 장면이 되새겨짐 ㄷㄷ..최고의 멜로영화 ㅜㅜ
10,감동 감동 ㅜㅜ
10,진짜 감동이다
10,새벽에 봤는데 여운이ㅠㅠ
10,ㅠ
10,최고 최고 최고
10,남잔데 혼자 질질짜면서봤다..내인생역대급영화
10,순수 그 자체 오랜만에 영화로 힐링한거같아서 좋았어요
10,행복한사랑
10,내 생애 최고의 영화
10,제가 이제까지 본 영화 중 최고입니다
10,긴말 필요없고 사랑해요. 역대최강감동
10,펑펑 울었다
10,아 멜로 잘 안보는데.. 그냥 쩝니다ㅠㅠ
10,보고또보고또보고또보고또봐도 그느낌그대로의 설렘과 소름
10,하 그냥 보시면 압니다..
10,ㅜㅜ
10,짱짱 ㅠㅠ 정말 여운이 오래남는  영화입니다 ㅠㅠ
10,여름이 오면 생각나는 영화
10,일본영화지만, 정말 괜찮음.!!
10,최고의영화
10,아 진짜 이건.............ㅜㅜ
10,상당히 인상적이네요
10,가슴 뭉클하게 만든 감동적인 영화 꼭 보시길 바랍니다
10,아들을 둔  아빠로서 그냥 먹먹 했습니다..전 아내를 지금 만나러갑니다...
10,...와...대박...
10,먹먹한 너무나도 아름다운 이야기
10,강추
10,일본 멜로영화중에 최고인거 같아요.
10,다시봐도 감동적
10,♥
10,역대급
10,다시봐도 찡--- 한영화ㅠㅠ
10,소설의 완성도 높은 구성을 잘 가져온듯 배우들도 다 매력적이고 가슴이 훈훈해지는 울 수 밖에 없는 감동적인 영화!
10,나의 메마른 감정을 다시 흐르게 해준 영화
10,사랑을 다시한번 생각해보게 되는 영화
10,늘 여름이면 떠오르고 떠오르면 제목만으로 찡~해지는..
10,원작 소설을 영화한 것 중 이만큼의 퀄리티를 가진 것도 드뭄...서양엔 오만과 편견이 있다면 동양엔 지금 만나러 갑니다
10,으...
10,사랑이란 참 질리지 않은 단어인거 같다는 생각을 해보며 지금 옆에 사랑하는 사람이 있다면 꼭 함꼐 보시길 바란다.
10,내인생의영화 BEST 1
4,별로...감동은많이없었어요.,,
10,처음으로 영화보고 글올린다 .. 이렇게 감동적인건 오랜만인듯  안보신분들 보시길 추천
10,순수한 사랑 밖에 없다? 신파??? 순수한 사랑이 눈물을 흘리게하는 영화다. 영화 속에 담긴 진정한 의미는 판타지가아니라 운명적인 사랑이다. 이런 마음을 가진 사랑 해보고싶다.
4,진부하고 비현실적인 억지감동 스토리.. 평점이 너무 과하다
10,굿이지
10,펑펑움
10,볼까말까 고민하는 사람들 꼭 봐라 두번봐라ㅠㅠ 아 결말 대박이다..
9,평점은 귀찮다.. 하며 단 한번도 평점을 남긴 적이 없었는데.. 이 영화는 나에게 평점을 남기게 할 만큼 대단한 영화..
9,영화가 일차원적이라고 하는 사람은 다시 보시길 ㅎㅎ 영화에 상징적인 게 많은 것 같아요.센과 치히로 처럼 일본 문화가 묻어나는 영화
10,꼭 사랑하는 사람과 같이 보세요... 정말 잘만든 영화...
10,처음으로 평점이란걸 줄만큼 엄청난 영화
10,최고
10,감동
10,대박이다 진짜
10,ㅋㅋㅋㅋㅋ
10,'아이오, 손  시려'  아마 이 영화 최고의 명대사인듯  싶다.  사랑의 시작과 끝을 이 대사로 끝내버려 너무 아련했던 영화!
10,진짜..대박.....일본 싫어했었는데 이 영화는 좋음!!!
10,세번 돌려보고 세번 다 울었음 ㅠㅠㅠ돌려본 영화도 처음인데 운영화도 처음.....책으로 사서 읽어봐야겠당..
10,일본 영화의 클리셰를 이보다 더 적재적소에 알맞게 맞춘 작품이 있을까요? 티끌의 실수도 없는 각본이었습니다.
10,.
10,꼭 보세요! 대박임ㅠㅠㅠ
6,괜찮았지만...이정도 별점은 아닌듯....   개인적으로 배경음악이 가장 기억에 남는다....
7,마지막에 괜찮은 반전이 있지만 전개도 스토리 압축에 실패한 느낌이 들고 나카무라 시도의 연기도 내성적인 성격을 연기한것인건 알겠지만 어색함
10,클래식과 지금 만나러 갑니다.휴........
10,평점은 거짓말을 하지않는다 눈물 펑펑 흘리면서 봤네요ㅜㅜ
9,캬
1,판타지를 일상과 결합하면 진실된 감동을 주기 힘듭니다. 죽은 사람이 예수도 아니고 어떻게 살아 돌아오는가...판타지는 판타지세계에서만 애기를 풀어야 한다.
10,장마철 한번보는거 강추~
10,진짜 재밌고 여운 많이 남는 영화
10,잔잔하고 슬프고 여운이 많이 남네요..
10,초 중반엔 다소지루할수있습니다.하지만 후반에 가면 감동이 팡팡팡ㅠㅠㅠㅠㅠㅠ후회하지않을 영화입니다 꼭보세요!
10,100점
10,평점이란걸 처음으로 줍니다.
10,저는 아직 영화를 보지 않았습니다만, 원작 소설을 읽고 당연하듯이 10점을 올리게 되네요 ㅎㅎ아 정말 재밌었어요 영화도 기대해봅니다^^
1,아름답다.. 여주인공 너무 사랑스럽다. 하지만 이정도 평점은 아닌듯 하다. 지루함과 비현실적임이 내게는 와닿지 않았다. 8점 후반대가 적당한 듯 하다
9,너무나신비로운영화이네요..그리고가슴아픈사랑이에요..
10,ㅎ
10,말이 필요없는 최고의 영화사랑이란 이런거 아닐까
1,영화 전.후반부 보는 내내 지루한것은 어쩔수없다.밑에분 말대로 마지막 부분때문에 그나마 선방
10,말이필요한가...내생에최고의영화다
7,지루하다가 마지막이 살렸다.
10,최고의 영화죠.
10,장마가 시작되었다 생각이났다 그렇게 또 보게된다... 지금, 만나러 갑니다....
10,감동속의 여운 절묘한 조합
10,정말 아름답고 감동적인 영화
10,비가오면 항상 생각난는 영화.. 행복을 기다리며와 함께 최고의 영화
10,장마철만 되면 생각나
10,감동..아름다운 영화다
10,음악도 너무 좋고 정말 감동적임..
1,정말 너무 뻔하고 개연성도 떨어지는.. 결말이 보이는 영화
9,이런 사랑을 할수 있을까. 아니 해보고 싶다.
9,아름답고 순수해서, 마음을 정화시키는 느낌..수준낮은 로맨스와는 좀 다른..
10,무한감동ㅠㅠ 한편의 동화같은 아름다운 영화
5,멜로영화를 좋아하는 편이지만 너무 현실성 없는 설정에별로 재미없음...
10,이 영화를 본 건 7년전이지만, 이 영화를 본 후 나는 비의 계절, 장마를 싫어하지 않게 되었다. 비의 계절이 다가오는 시점마다 늘 생각나는 영화. 시간을 넘어서.
10,내인생 최고로맨스영화. 늘 나에게 감히최고라말한다
10,비오고 꿀꿀한 날 보고싶고 보면 감동받는 영화임..
10,남자도 울리는 영화..가슴먹먹해지는 영화
1,밸런스 조절. 실질적으론 7점대 영화가 아니가싶다. 영화 시작부터 이미 결말이 나온거나 다름없고 전개자체가 누구나 다 예상가능한 뻔한 전개라 맥이 빠진다. 말할 수 없는 비밀을 본다면 비슷한 멜로 판타지 장르이지만 수준차를 느낄 수 있을 것....
10,짱잼있어요ㅠㅠㅠㅠㅠㅠㅠㅠ중간중간에몇번눈물나왔ㅇ..ㅠㅠ
5,왜 이렇게 별점이 높은지 모르겠다. 설정 하나하나 유치했고, 내내 억지로 슬프게 만드는 것 같아 불편했다.  다케우치 유코는 정말 예뻤다 여신.
2,동화같은  사랑 이야기를  원한다면  ok. 하지만  내가 느낀 이 영화 장르는 멜 로 아닌 신파환타지..다수의 의견이  진리가 아님을 새삼 느끼게 되네요
10,말그대로 아름다운 영화 ㅎㅎ
9,제가 이영화를 처음 본건 중2때, 그때는 러브레터 보다 못하네.... 하면서 봤는데,27살이 된 지금 사랑하는 사람을 생각하며 이영화를 다시 접하게 되니, 눈물의 쓰나미가.... 사랑하는 모든이들에게는 최고의 영화가 아닐까 싶네요.
10,블루레이 구매했습니다
10,펑펑 울었다....
10,진짜 정말 이쁜영화..
10,2005년작 영화를 이제 처음 보네요...여운 개쩌네요...18세 생일 축하해 엄마가...
10,다시없을...
9,응택이♥
10,너무슬프다...엄마보고싶다
10,계속 울면서 봤다
10,이렇게 부담없고 원없이 슬픈 영화는 이영화가 최고일듯
10,판타지지만 억지스럽지 않은 설정. 따뜻한 가족사라서 더욱 좋다
10,아역배우의 연기가 너무 훌륭하다
10,아름다운 이야기
10,일본영화 하면 떠오르는 감성의 아이콘 '러브레터', '지금 만나러 갑니다'
10,약간의 반전?도 있고 괜찮게 봤다. 남자를 너무 사랑해서 미래에 죽을걸 알면서도 죽는 미래를 선택한 여자가 너무 대단한것 같다. 노트에 씌어진 문장 '지금 만나러갑니다'.
10,고딩때 귤까먹으면서 이거보면서 엄청 울었지 ㅋㅋㅋㅋ
9,여주가 첫키스할때의 그 짜릿함이 전해져오는거 같은 영화....
10,대단하다 ㅠ.ㅠ
9,최고의 영화 중에 하나. 말이 필요없다
10,영화시작부터 끝까지의 스토리가 정말 잘짜여있는것 같다처음에는 시큰둥하고 보았는데 마지막에는감격했다 이영화를 보고아무느낌이 없다는 사람들은 현대일상생활에 감정이 메마를대로  메마른 사람들일 것이다
1,난 도대체 공감대 형성이 안된다. 걍 순수한 사랑. 그게 다다. 뭔 이리 질질 런닝타임 끄는지... 대체 어디가 슬프다는건지 동화같다. 난 이런 신파 손발이 오그라든다
10,눈물이나는영화
10,사랑이 무엇인지를 알게해주는영화
10,이마...아이니이끼마스...!
10,일본가서 살게 하고 싶은 영화 나 이영화를 개봉후 지금까지 20번은 본듯
10,진짜 최고 영화입니다
10,너무 슬프지만 아름다운 이야기 보면서 3번 울었네요
10,날 울리다니...
10,아빠로서 자신을 돌아보게 만드네요
10,영화 클래식 타이타닉에이어 내생에 손꼽히는 영화 ㅠ_ㅠ
10,오랜만에 눈물 펑펑
10,안본사람보세요.. 정말 대작이에요 완전 슬픔... 7번방 저리가라임
10,심장이 터질 것 같다
10,지금, 만나러 갑니다
10,최고의 감동 최고의 스토리
10,덕후될거가타ㅜㅜㅜㅜ아직도 심장뛰어ㅜㅜ
10,모...모 야매롱다
10,감동적이고 부모님의사랑과 연인의 사랑을 알게해준 영화
10,학교에서 겨우 다봤는데 너무 감동적이고 여운이남는다.
10,후반부에 지금,만나러 갑니다 할때 소름돋음
10,beyond description
10,제가 본 영화중에 최고였습니다.
10,재밌네 ㅋㅋ
10,정말 최고! 라는 말밖에..
10,내가 본 일본영화 중 최고의 영화
10,지금 내나이가 25살이니까 나중학교때부터 게속봤는데 한100 번은 넘게봤는데도 안질리고 항상 감동적인 영화
10,감동이란  단어의 의미를 가르쳐준 영화
10,말로표현할수없습니다...
10,그냥 최고
5,ㅎㅎ
10,봐도봐도 감동있네요..
10,수많은 일본 멜로영화 중에 단연 최고가 아닐까?
10,으...이게 얼마나 슬프냐면 두번째 보는데도 울었다..옆으로 누워서 봣는데 코에 연못생김..이거 보고 일본슬픈영화 웬만한거 다찾아봣는데 진짜 다 별로였다. 내 인생 슬픈영화는 이게 최고다 이제 나 슬픈영화 접는다
10,일본의 감성적인 영화가 좋은 이유는 인스턴트식 사랑이 널린 요즘 같은 시대에, 잊고 살았던 첫사랑의 순수함과 같은 것들.. 설레임, 따뜻함과 부드러움 그리고 포근함을 다시 떠올릴 수 있게 만들어주기 때문이다.
10,명작중에 명작!진짜 짱임 행복을 알려주는 영화네요~
10,보면  왜 10점인지 알듯
10,내가 죽기전에 다시 이토록 슬프도록 아름다운영화를다시 볼수있을까라는 깊은여운을 남기는 영화......1년에 한번씩은 꼭다시 찾게될 명작 그이상입니다모두들 꼭 한번 보시길바랄게요
10,아,..좋다
10,꼭 봐라
10,진짜 감동 ㅜㅜ,.. 많이 울엇네용
10,괜찮네요.
10,저 오늘 생각나서 또보게됬는데 ..진짜 볼때마다 너무 슬프고 감동적이고 아름답고 ... 너무 좋아요 이영화.... 한국에선 이런영화 안나올까요.....?ㅠㅠ... 아진짜 너무좋다
9,20대때 본느낌과 결혼후에 본느낌이 또 좀 다르네... 20대는 감성이 폭발했는데 어쩌다 다시보니 그냥 동화같다.
3,영화 보는 내내 한숨밖에 안나옴
10,ㅠ_ㅠ
10,그냥.. 감사합니다.
10,소름이 돋는 스토리, 배우의 감정호소 등등.. 정말 생애 본 멜로영화중 가장 최고로 꼽는 명작.
10,평점을 등록하게 만드는 영화
10,ㅇ
10,내가 울다니 ㅜㅜ 고맙다
6,어떤장면에서 슬퍼야하는지..? 조금은 유치한 전개 때문에 감정몰입이 힘들었습니다.
10,말이 필요없다 마지막 눈물이 안 날수가 없었다.
10,최고의 영화
10,정말 슬펐고..왜 거기서 끝나지 시점이 과거 여주인공에게 돌아가나싶었는데,예상치못한 반전까지..힐링이되었던 영화인듯.
10,진짜 너무 좋았던 영화.. 계속 가슴에 남아 있네요
10,최고...
10,완벽한 스토리, 최고의 감동, 너무나 아름답고 따뜻한 사랑의 영화..
10,말이필요없는 폭풍감동 영화입니다. 눈물 펑펑 ㅜㅜ
10,너무나 가슴이 아프고 슬프고 때론 흐뭇했던 영화.말이필요없습니다. 최고의 영화!
10,너무나도 예쁘고 아름다운..
10,일본영화중 손꼽히는 명작
10,로맨스 최고 10점만점 10점
10,울면서 본 영화는 다섯손가락 안에 꼽는데 그 중에서도 원톱...말로 표현못할 아름다운 스토리ㅠㅠㅠㅠㅠㅠㅠㅠ
10,예쁜 동화 같은 이야기...사랑스러운 가족들...행복함을 느끼게 해주는 힐링무비!!
10,와, 진짜 ㅠㅠㅠㅠㅠㅠ
10,넘흐조아....ㅠ
8,개인적으로 '태양의 노래'와 '말할수없는 비밀'을 보며 느꼈던 감정보단 덜했지만, 나름 포근한(?)마음으로 감상할수 있었다. 여주인공 청순하고 예뻤다는~꼬마녀석도 귀여웠다ㅋㅋ마지막엔 생각지도 못했던 반전까지 안겨주는~누가봐도 무난히 좋은영화
10,^^ 다시 태어나면 꼭 이런 사랑을 하고싶다..
10,너무감동적이네요.. 정말 잘만든것같습니다
10,이제서야 봤습니다. 엄첨나네요 이 영화... 보면서 감동도 엄청나고 여운도 깊게 남습니다. 정말 잘 봤습니다.
10,생각나서 다시 한번 봤는데.... 정말 최고네요...ㅠㅠ
10,내 인생 최고의 영화...열번도 더 본 유일한 영화
10,최고... 진짜 최고...
10,감동적이었습니다..여운이 많이 남아요
1,에잉 ㅉㅉㅉ 사람이 의식주 중에 의리가 없어서야 어찌 살겠능가!
10,정말 감동적인 영화에요 그냥 슬픈영화겠지하고 봤는데 마음속에 와닿는 영화일줄이야ㅠㅠ 계속기억날영화네요ㅠㅠ옛날영환데도 이렇게감동적이라니.......안보신분 꼭 보세요
10,그냥 슬프겟지하고봣는데 이렇게영화보고 엄청나게 눈물난적진짜처음이다.....영화하는내내 이유없이눈물이 계속 난다 영화끝나니 너무마니울어서 몸에힘이업다 정말최고다 음악도엄청 좋고최고다 평점 10바께업는게 아쉽다 100000점은 주고싶다ㅜ
10,역시최고
10,숨막히는 현실에서 살다가 한여름의 슬픈 비를 만난거같았어요. 아직 나의 감정이 살아았다는걸 알고 여름날의 비가 기다려지네요
10,진짜 개사기적이게 슬픈영화 진짜 거짓말안하고 진짜  엄청나게 진짜로 슬픔니다 와 이걸 진짜 말로 표현못함 봐봐요 진짜 눈물 이 쏟아져요 눈물 콧물 쏟아짐 밤에 이거보고 울다가 엄마한테 시끄럽다고 맞아서 더움 장난아님
9,타케우치 유코는 아름다웟고, 긴긴 장마 뒤에 찾아온 초여름의 해바라기꽃밭씬 기억에 남는다. 지금, 만나러 갑니다
10,감동적이었어요~
10,말이 필요없다.
10,뒤늦게 보게 되었다.이  명작을  이제서야  보게 되다니..제길!!!  아직 보지 못하신분들  눈물닦으실  티슈  준비하시고  보시기를!!!! 특히연인분들께강추!!!
10,명작 중의 명작
9,러브레터와함께 젤 좋아하는 일본영화, 한번살았던 삻을 똑같이 다시 되풀이해도 좋을사람을 만나는게 최고의 행복중하나겠지, 역시 꽃밭에서 흰옷은 정말 최고의 조명발이다,
10,몇번을 두고 봐도 좋은걸 명작이라고하죠
5,판타지적 로맨스 설정은 좋다. 하지만 큰 감동을 주지는 못 해 많이 아쉬웠던 작품.
10,이거 안본 사람 빨리 봐라!!!
10,나도 그랬는데..
10,정말...  최고다
10,진짜 일본최고의영화다 음 새드엔딩이지만 해피엔딩같은 그런영화 비가 오면 이영화가 생각나겠네여 그리고 영화ost도 좋네요 너에게닿기를....
10,8년전 3월에 개봉했던 영화를 이제야 다시 봤네요 너무 예쁘고 달달한 영화~!! 근데 요즘 극장가에서 이런 일본영화 거의 안보이네요
10,살면서 이런영화안보고뭐하노
10,영화보면서 눈물 잘 안흘리는데 이 영화 타쿠미와 미오가 헤어지는 장면에서 눈물 한방울이 모이더니 뚝하고 떨어지더라 그러나 슬프지 않고 기분 좋게 본 영화^^
10,아아~~또봐도 눈물이 나오네..진짜 좋은 영화..이 말로는 더 이상 해줄말이 없네..100점주고 싶어!
10,죽기전에꼭봐야하는영화
10,말이필요없습니다. 꼭보세요
10,영화 참 예쁘다.♥영상미도 너무 예뻤구요 이 영화를 보니 내 마음이 깨끗하게 정화되는 느낌이네요 남주연기도 좋았습니다
10,슬프지않은 아름다운 이별이야기네요 좋았습니다~
10,죽기전에 꼭 봐야할 영화중에서도 꼭 봐야할 영화!
10,일본영화를 재밌게 본 기억이 없고 제취향이 아니었는데 이건 정말 감동적이고 재밌게본거 같아요 음악이나 영상도 이쁘고요
10,진짜 감동ㅜㅡㅜ
10,진짜 아름다운 영화라는는 말이 어울림
9,개인적으로 감동적인 영화에 판타지스러운 요소가 들어가는건 별로 안좋아하는데.. 여주가 너무 매력있었다
10,정말 일본영화 모두 통틀어서 이영화가 가장 감동적이고 그 여운이 오래가고좋은영화라고 하고싶다.다른사람에게 이영화를 권할때는 그냥 아무말마시고 보라고하시길..너무 기대도하지말고 그냥 머리와 마음을 비우고 볼때 이영화에 빠져듭니다....
4,글쎄. 책이 훨씬 나은뎅.... 좀 지루하기만 햇지 별로... 영화 오만과 편견이 훨씬 나음....
10,영화가 정말 아름다움 그 자체였다. 영화를 보고나서 이렇게 가슴이 벅차고 자고 일어나도 자꾸 맴돌정도로 감명깊었다.. 슬프지만 이런 사랑한번쯤해보는건 모든 사람들의 바람일것 같았다.
10,진짜 영화보면서 간만에 눈물 콧물 다 쏟으면서 봄끝나고 이거 쓰다가 갑자기 또 눈물남
7,내가 너무 기대를 한건가,,
10,너무 감동적인 영화!보는 내내 슬프고 정말 행복하기도 했던 ...굿굿:")정말 손가락에 꼽을 잘만들어진 영화!
10,영화보며 가슴이 먹먹한건 처음이었는데 이 영화가 처음이었다 평생 기억에 남을 명작중에 명작이다!!!!
10,그냥 감동그자체 ㅡㅜ
10,눈물까지 나지는 않았지만,너무 여운에 남는 영화네요!왜이제서야 봤는지....!너무 감돈입니다!
10,이건 볼때마다 운다 ㄱ- ...
10,보는 내내 가슴이 찡했던 영화
10,아 너무 좋다....
10,엔딩 부분에는 눈물이 멈추지 않네요..
10,비현실적이긴 하나 영화니까 가능하다고 생각한다.매우x100 감동적이다...ㅠㅜ
10,너와의 인연이 그렇게 끝날 것을 알면서도, 그때로 돌아간다면, 나는 너를 만나러 갈까.
10,여운이 길게 남네..
10,다시보자.
5,so-so
10,사랑하는사람을더욱더소중하게느껴지게해준영화...
10,말이필요없음
9,멜로+판타지 를 적절하게섞은영화, 비현실적이라도 그특징을 잘살렸다. 무엇보다도 여운이 크다
10,최고
10,멜로영화는 나랑 잘 안맞아서 항상 보다가 졸거나 중간에 꺼버리던가 했었는데 이 영화는 한쪽 가슴이 먹먹해질정도로 감동과 슬픔과 교훈이 담겨져 있는 것 같음 10점도 안아까움
10,무조건 100점이닷ㅋㅋ
6,신선한 내용구성, 하지만 지루한 전반부분 아쉽다.또한 내용은신선하지만 매우비현실적이여서 사실아쉽다이영화의평점은 6~7점정도면 적당할것같다
10,몇 번을 봐도 .... 감동 ㅠ
10,10점 줄만한 영화다
10,멜로 영화보고 울기는 처음입니다. 정말 최고!!
5,엔딩에 와서야 만발하는 영화의매력...곁에있을수만있다면...근데 앞부분은 심히 지루하다
10,나는 왜 이런사랑을못할까 ㅠ 대학가서 해야지~1 우선선발 고고씽
10,영화내용도 그렇지만연기보다는 슬픔보다는와.. 한번보면 여운진짜 오래갑니다 5달? 그전에봤는데 아직까지생각나고 이런비슷한영화를 또보고싶어 미춰버리겠습니다
1,사람마다 다르겠지만 아무리 슬픈영화봐도 운적이 없어서.. 그리고 이영화는 내가 봤던 슬픈영화중에서도 별로였음 걍 시간아까움 그리고 감동은 억지로 짜네는게아님
10,그냥이건뭐 할말이없네요평점1점남긴사람들은 참으로신기할따름입니다너무좋아요
10,보는 내내  행복했던 영화 보던 내내  눈물흘렷던 영화보고나서 잊혀지지 않을영화
10,지금 덧글쓰러 갑니다...
10,너무슬프고 여운이남아 네이버다른아이디로도 10점! 일생의 최고 멜로 영화..
10,재미있지 않습니다, 다만 엄청 슬퍼요..... 눈물 콧물 빼고 싶은분  일단 보세요.ㅠㅠ
10,말이 필요 없네
9,마음이따뜻해지는영화
10,참 아름다운 영화...
8,현실에서도 아카이브별 앓이를.. 진짜 있을까요- 아카이브별
10,가족을위해 자기삶을포기해도된다는말듣고 계속울고 또울었네요 ㅠㅠ 한장면만슬픈게아니고 계속갈수록슬프고 가슴이찡하메요 ㅠㅠ 정말재밋습니디 !!
10,어.....앞이잘 안보여 좀흐릿한거 같은대 왜이러지....
10,내인생 최고의영화
10,이런 영화만들어 주신 유코님과 시도님과 아들에게 감사합니다.영화잘봤습니다.저 보다가 울었어요ㅠㅠ.나이19살쳐묵고 울엇어 으앙..
10,완전 감동적이었음!! 하늘이맑은날보다 비가오는 날이 더 많은?이 영화에, 중요하게 다룬 꽂은 왜 해바라기일까..의문임
10,새벽에 잠은 안오고 무료할 때 생각없이 보다보면 질질짜고있는 자신을 보게될 것 입니다
